address,allocation
0x04783f02623e6D8Eb53E1eB20Ec8531F04f822C3,530
0x72E9F58607055f44B37373424E543C380a55a2D3,300
0x829EeE1Ab4B21b3abD4b11b2951a03FbE16a3A97,300
0x9ab97cb816010CF1aBe8e67f6Cfc56CE3BE917A3,555
0x00838C2cd0384BF95108e93F97959f897149B154,230
0x00fC558F38AC9b814C17671c7EaA1599f40401CC,230
0x0B68BC75d39195D91A1Ad7ab9FfE630242c6da64,230
0x16C8eA495762c8d5e85a4a70Fb1d5E180972C107,230
0x1930672beF460512be33560849e3deAaa453CaDD,230
0x2Debdf4427CcBcfDbC7f29D63964499a0ec184F6,230
0x364BE9f2fe47149561c9e6d035E5B39B28A447bD,230
0x3b9DeC54f9829a07688f5602E554CB14fAb03c87,230
0x3e483Ac9091c2f4430a87123edEc5417EdFdC066,230
0x51cC731514C87def781A163f8E48Ed4F81d36D4b,230
0x569c8f72Cf4A896ff0423444284dCbc5C3B5f1B7,255
0x62434ddb02f846cbd5BE19D535cf2542Fd92d549,255
0x62C4eE3905aCB37106dfA2175226afFa6DDf3032,230
0x64a9EB1B7B8601ED4bBc5F68934469ffDa7ef543,230
0x6a5Bc8E13Dfe0eB20ffD29843dB22d44abfC4168,230
0x6e969cB609E0F188Ad30F3F946f4Fe9Fd210226C,230
0x8237Dd9b0D445A9cb1782f7c2360DC8558272dcE,230
0x9Aa0329ab6e9ec9fc5A05F44aa2A6E99Bd7789e9,230
0xB52f7D2C7267A4BeA0167958df7e80fFC0c2e488,230
0xB91e562F080A0deDEF9D14Fa0Ba28475068752d7,230
0xD2Afb8e6593e812f77c90A1BF6AD0A1C51969a0a,230
0xb2C5AE080a236fE89A87fDbd1F9D58aD4b57c6B2,230
0xc1cAd6df277106222Dd45cF5B0300fBd4d1193D5,230
0xd47014FE3De24632AA4D42eDE82111f6A32cA1A3,230
0x1AAFe866d313e5078a12745dF06b7b7988662ff8,25
